Created_Date,Borough,count,Year
2018-01-11,QUEENS,1,2018
2019-02-27,BRONX,2,2019
2019-03-25,BROOKLYN,2,2019
2019-04-04,MANHATTAN,6,2019
2018-06-02,BROOKLYN,4,2018
2018-06-05,MANHATTAN,11,2018
2018-06-10,MANHATTAN,8,2018
2018-06-22,BROOKLYN,2,2018
2019-07-10,QUEENS,3,2019
2018-08-11,BRONX,1,2018
2018-08-22,BROOKLYN,3,2018
2018-10-17,MANHATTAN,13,2018
2019-11-30,QUEENS,2,2019
2018-12-20,MANHATTAN,1,2018
2018-02-11,BROOKLYN,3,2018
2019-02-16,MANHATTAN,2,2019
2018-04-20,BROOKLYN,3,2018
2018-07-07,BROOKLYN,7,2018
2019-07-17,QUEENS,3,2019
2018-07-28,QUEENS,2,2018
2019-07-28,QUEENS,1,2019
2018-08-14,BROOKLYN,7,2018
2019-09-01,BROOKLYN,3,2019
2018-10-08,QUEENS,4,2018
2019-10-17,QUEENS,4,2019
2018-11-02,QUEENS,2,2018
2019-11-04,MANHATTAN,30,2019
2018-11-14,MANHATTAN,9,2018
2019-12-18,BROOKLYN,1,2019
2019-12-30,MANHATTAN,17,2019
2018-01-05,MANHATTAN,1,2018
2019-02-16,BROOKLYN,2,2019
2018-03-13,MANHATTAN,9,2018
2018-03-19,MANHATTAN,1,2018
2018-04-19,BRONX,1,2018
2019-04-27,QUEENS,1,2019
2018-06-01,BROOKLYN,3,2018
2019-06-20,BROOKLYN,3,2019
2018-06-27,QUEENS,2,2018
2018-10-10,QUEENS,1,2018
2018-11-25,BROOKLYN,1,2018
2018-02-11,MANHATTAN,3,2018
2019-02-26,BROOKLYN,1,2019
2018-04-30,MANHATTAN,3,2018
2019-05-13,BROOKLYN,4,2019
2019-05-27,MANHATTAN,6,2019
2018-08-07,BROOKLYN,8,2018
2019-08-10,QUEENS,1,2019
2019-08-24,QUEENS,3,2019
2018-08-31,QUEENS,2,2018
2019-10-13,BRONX,1,2019
2018-10-21,QUEENS,2,2018
2019-10-29,Unspecified,2,2019
2018-12-03,MANHATTAN,7,2018
2019-04-01,MANHATTAN,7,2019
2018-05-26,BROOKLYN,2,2018
2019-07-09,QUEENS,2,2019
2018-07-12,BRONX,1,2018
2018-08-09,MANHATTAN,10,2018
2019-08-27,BRONX,1,2019
2019-09-06,QUEENS,2,2019
2019-10-16,MANHATTAN,22,2019
2019-11-17,QUEENS,2,2019
2019-11-22,QUEENS,1,2019
2018-12-06,BROOKLYN,1,2018
2018-02-13,QUEENS,2,2018
2018-02-22,QUEENS,1,2018
2019-04-13,MANHATTAN,1,2019
2018-05-30,BROOKLYN,2,2018
2018-06-14,MANHATTAN,7,2018
2019-07-20,MANHATTAN,6,2019
2018-08-24,BROOKLYN,5,2018
2019-08-25,MANHATTAN,12,2019
2018-11-16,QUEENS,1,2018
2019-12-01,MANHATTAN,15,2019
2019-01-09,BROOKLYN,3,2019
2018-02-12,STATEN ISLAND,1,2018
2019-04-05,MANHATTAN,2,2019
2018-05-24,MANHATTAN,6,2018
2018-07-01,MANHATTAN,6,2018
2018-07-27,BRONX,2,2018
2018-09-19,BROOKLYN,5,2018
2018-10-11,QUEENS,1,2018
2019-10-15,Unspecified,1,2019
2018-11-08,BRONX,3,2018
2018-11-15,BRONX,1,2018
2019-11-20,BRONX,2,2019
2018-11-27,QUEENS,2,2018
2018-01-09,MANHATTAN,1,2018
2018-01-15,BROOKLYN,1,2018
2018-01-18,MANHATTAN,2,2018
2018-01-26,MANHATTAN,4,2018
2019-04-30,BRONX,1,2019
2018-06-23,QUEENS,1,2018
2018-08-28,MANHATTAN,25,2018
2018-09-04,BROOKLYN,7,2018
2019-10-08,QUEENS,3,2019
2018-10-16,BROOKLYN,4,2018
2019-10-21,STATEN ISLAND,1,2019
2019-12-21,MANHATTAN,11,2019
2019-04-19,STATEN ISLAND,1,2019
2019-05-08,BROOKLYN,3,2019
2018-06-07,MANHATTAN,16,2018
2019-06-09,MANHATTAN,9,2019
2019-06-12,BRONX,1,2019
2019-06-18,MANHATTAN,8,2019
2019-06-27,MANHATTAN,17,2019
2018-07-12,STATEN ISLAND,1,2018
2018-09-04,QUEENS,6,2018
2019-09-14,QUEENS,1,2019
2018-10-07,BROOKLYN,5,2018
2019-10-25,BRONX,3,2019
2018-11-06,MANHATTAN,6,2018
2019-11-12,BROOKLYN,11,2019
2019-11-21,BRONX,2,2019
2019-12-10,BROOKLYN,5,2019
2019-01-17,BROOKLYN,1,2019
2019-02-05,STATEN ISLAND,1,2019
2019-03-15,BRONX,1,2019
2018-03-16,BROOKLYN,1,2018
2018-04-10,STATEN ISLAND,1,2018
2019-07-26,BRONX,1,2019
2019-08-02,BROOKLYN,6,2019
2019-09-02,BROOKLYN,5,2019
2019-10-10,QUEENS,2,2019
2018-12-10,MANHATTAN,10,2018
2019-02-10,STATEN ISLAND,1,2019
2019-03-29,STATEN ISLAND,1,2019
2019-05-20,BRONX,1,2019
2018-06-26,MANHATTAN,10,2018
2018-06-27,MANHATTAN,10,2018
2018-07-07,QUEENS,1,2018
2019-08-26,BRONX,1,2019
2018-08-27,BRONX,2,2018
2019-09-29,MANHATTAN,20,2019
2018-10-01,QUEENS,5,2018
2019-11-19,QUEENS,2,2019
2019-12-07,BRONX,1,2019
2018-01-04,QUEENS,1,2018
2018-01-16,QUEENS,2,2018
2019-05-18,MANHATTAN,5,2019
2019-06-26,QUEENS,5,2019
2019-07-17,BROOKLYN,6,2019
2019-10-13,QUEENS,4,2019
2018-12-08,MANHATTAN,2,2018
2018-01-17,MANHATTAN,2,2018
2018-01-26,Unspecified,1,2018
2018-02-21,QUEENS,1,2018
2019-02-22,MANHATTAN,1,2019
2018-02-26,BRONX,1,2018
2018-04-22,BRONX,1,2018
2018-07-07,BRONX,2,2018
2018-07-11,BRONX,3,2018
2018-11-18,Unspecified,1,2018
2019-11-27,QUEENS,1,2019
2019-12-02,MANHATTAN,17,2019
2019-04-16,BROOKLYN,1,2019
2018-04-26,QUEENS,2,2018
2019-06-15,MANHATTAN,10,2019
2018-07-15,QUEENS,2,2018
2019-07-27,BRONX,1,2019
2018-08-31,MANHATTAN,15,2018
2018-10-19,MANHATTAN,5,2018
2018-10-29,BROOKLYN,4,2018
2018-11-10,MANHATTAN,4,2018
2018-02-20,QUEENS,2,2018
2019-03-08,MANHATTAN,2,2019
2018-03-11,BROOKLYN,2,2018
2019-03-14,QUEENS,3,2019
2019-04-19,MANHATTAN,4,2019
2019-06-06,BROOKLYN,2,2019
2019-06-24,BROOKLYN,3,2019
2019-08-06,QUEENS,4,2019
2018-10-12,BROOKLYN,2,2018
2018-10-13,BROOKLYN,1,2018
2019-11-01,BROOKLYN,6,2019
2018-11-05,QUEENS,1,2018
2019-12-15,MANHATTAN,19,2019
2019-04-17,BROOKLYN,3,2019
2019-04-28,Unspecified,1,2019
2018-05-02,BRONX,2,2018
2019-05-14,STATEN ISLAND,1,2019
2019-08-06,BROOKLYN,13,2019
2018-08-27,BROOKLYN,7,2018
2018-09-20,BRONX,2,2018
2019-09-22,MANHATTAN,17,2019
2018-09-25,BROOKLYN,1,2018
2018-12-20,BRONX,1,2018
2019-12-29,BROOKLYN,2,2019
2019-03-03,BROOKLYN,1,2019
2019-04-07,MANHATTAN,6,2019
2019-05-09,QUEENS,1,2019
2018-05-14,BRONX,4,2018
2019-05-17,MANHATTAN,5,2019
2018-07-03,MANHATTAN,3,2018
2019-07-21,STATEN ISLAND,1,2019
2019-08-16,STATEN ISLAND,2,2019
2018-08-31,BROOKLYN,4,2018
2018-09-04,BRONX,4,2018
2018-10-07,MANHATTAN,12,2018
2018-10-08,BROOKLYN,2,2018
2018-10-26,MANHATTAN,4,2018
2018-11-28,MANHATTAN,4,2018
2018-12-20,BROOKLYN,1,2018
2019-01-03,BRONX,1,2019
2019-03-06,BRONX,1,2019
2018-05-08,BROOKLYN,2,2018
2018-05-18,QUEENS,2,2018
2019-07-06,QUEENS,3,2019
