borough,date,count
MANHATTAN,2018-05-06,30
BROOKLYN,2018-01-29,35
QUEENS,2018-03-08,34
BROOKLYN,2018-03-14,43
MANHATTAN,2018-03-25,21
STATEN ISLAND,2018-04-05,8
STATEN ISLAND,2018-04-28,19
STATEN ISLAND,2018-05-24,5
STATEN ISLAND,2018-06-27,9
BRONX,2018-09-27,24
BROOKLYN,2018-12-03,22
MANHATTAN,2018-12-06,57
QUEENS,2018-12-17,5
BROOKLYN,2019-03-16,39
QUEENS,2019-03-26,9
STATEN ISLAND,2019-04-01,2
BRONX,2019-04-22,27
MANHATTAN,2019-05-24,107
BROOKLYN,2019-07-02,13
BROOKLYN,2019-07-11,62
QUEENS,2019-07-14,23
STATEN ISLAND,2019-10-08,45
MANHATTAN,2019-11-27,115
BROOKLYN,2019-12-26,29
BROOKLYN,2018-08-03,76
QUEENS,2018-08-28,9
MANHATTAN,2018-12-16,9
QUEENS,2019-01-04,34
BROOKLYN,2019-03-30,48
BRONX,2019-04-09,22
MANHATTAN,2019-06-19,77
STATEN ISLAND,2019-07-05,4
BRONX,2019-07-11,59
STATEN ISLAND,2019-07-23,15
QUEENS,2019-09-02,4
BRONX,2019-09-09,52
BROOKLYN,2019-10-18,32
BROOKLYN,2019-10-23,38
BROOKLYN,2018-01-28,44
MANHATTAN,2018-02-02,77
BRONX,2018-02-18,41
BROOKLYN,2018-02-27,45
STATEN ISLAND,2018-01-03,10
STATEN ISLAND,2018-01-20,8
STATEN ISLAND,2018-02-02,12
QUEENS,2018-05-24,46
BRONX,2018-06-23,66
BROOKLYN,2018-09-04,27
QUEENS,2018-09-07,26
BRONX,2018-09-20,41
BRONX,2018-10-06,56
MANHATTAN,2018-11-17,42
MANHATTAN,2019-01-12,32
BRONX,2019-01-14,30
BROOKLYN,2019-03-17,36
BROOKLYN,2019-03-19,107
MANHATTAN,2019-03-20,70
BRONX,2019-05-23,103
BROOKLYN,2019-06-20,40
BRONX,2019-06-29,45
BROOKLYN,2019-09-14,23
QUEENS,2019-10-10,15
STATEN ISLAND,2019-11-02,2
BROOKLYN,2019-11-24,30
STATEN ISLAND,2019-11-24,5
MANHATTAN,2018-02-13,80
MANHATTAN,2018-02-19,129
BROOKLYN,2018-03-08,36
QUEENS,2018-03-16,48
STATEN ISLAND,2018-06-22,1
STATEN ISLAND,2018-07-03,6
MANHATTAN,2018-07-04,37
QUEENS,2018-07-28,17
STATEN ISLAND,2018-09-03,11
BROOKLYN,2018-11-17,38
MANHATTAN,2018-12-11,67
BROOKLYN,2019-02-14,26
MANHATTAN,2019-02-20,104
BRONX,2019-03-31,47
STATEN ISLAND,2019-04-12,7
BROOKLYN,2019-06-27,24
QUEENS,2019-07-15,103
QUEENS,2019-09-01,9
STATEN ISLAND,2018-08-05,32
QUEENS,2018-09-03,14
BROOKLYN,2018-10-24,83
STATEN ISLAND,2018-11-18,3
QUEENS,2018-11-28,21
BRONX,2019-01-31,15
BROOKLYN,2019-05-04,51
MANHATTAN,2019-05-16,21
STATEN ISLAND,2019-08-11,7
STATEN ISLAND,2019-10-06,8
QUEENS,2019-12-01,9
STATEN ISLAND,2018-01-31,3
STATEN ISLAND,2018-02-27,3
MANHATTAN,2018-03-04,26
BROOKLYN,2018-03-26,25
QUEENS,2018-05-09,61
BRONX,2018-07-10,28
QUEENS,2018-02-20,22
QUEENS,2018-03-24,26
MANHATTAN,2018-04-06,70
BRONX,2018-09-15,53
BRONX,2019-01-02,44
MANHATTAN,2019-01-04,74
BROOKLYN,2019-01-22,93
QUEENS,2019-05-10,41
QUEENS,2019-06-14,28
MANHATTAN,2019-06-15,25
BROOKLYN,2019-06-18,12
MANHATTAN,2019-09-09,65
STATEN ISLAND,2019-09-17,1
MANHATTAN,2018-03-12,71
BROOKLYN,2018-05-25,41
QUEENS,2018-06-14,22
BRONX,2018-07-17,94
STATEN ISLAND,2018-08-22,3
MANHATTAN,2018-11-19,67
QUEENS,2018-11-20,13
STATEN ISLAND,2019-01-10,12
QUEENS,2019-01-23,28
BROOKLYN,2019-04-08,83
STATEN ISLAND,2019-05-01,4
QUEENS,2019-05-05,7
MANHATTAN,2019-05-30,74
MANHATTAN,2019-07-13,19
MANHATTAN,2019-12-14,14
QUEENS,2018-07-21,18
BRONX,2018-08-18,56
MANHATTAN,2018-12-05,84
MANHATTAN,2018-12-14,46
MANHATTAN,2019-01-25,48
QUEENS,2019-01-28,20
BROOKLYN,2019-02-10,25
STATEN ISLAND,2019-04-08,2
BROOKLYN,2019-05-28,72
BRONX,2019-06-02,42
MANHATTAN,2019-06-10,29
BRONX,2019-07-02,74
BRONX,2019-08-15,72
BRONX,2019-10-17,17
STATEN ISLAND,2019-11-08,3
MANHATTAN,2019-11-18,22
STATEN ISLAND,2019-12-10,1
MANHATTAN,2019-12-12,131
BRONX,2018-01-29,22
BROOKLYN,2018-02-21,38
BRONX,2018-02-23,42
STATEN ISLAND,2018-03-26,17
QUEENS,2018-05-27,28
MANHATTAN,2018-01-09,55
BROOKLYN,2018-03-25,59
STATEN ISLAND,2018-03-30,7
BRONX,2018-04-28,68
BRONX,2018-05-13,50
MANHATTAN,2018-07-24,116
STATEN ISLAND,2018-10-07,17
BROOKLYN,2018-10-20,54
BRONX,2019-01-16,32
MANHATTAN,2019-02-23,44
QUEENS,2019-03-16,14
BRONX,2019-05-10,42
STATEN ISLAND,2019-06-27,7
BRONX,2019-08-10,64
QUEENS,2019-09-06,108
BRONX,2019-11-28,12
BROOKLYN,2019-12-11,16
QUEENS,2018-01-03,35
BRONX,2018-02-22,35
BROOKLYN,2018-03-27,53
MANHATTAN,2018-04-20,41
MANHATTAN,2018-04-23,86
STATEN ISLAND,2018-06-05,4
BROOKLYN,2018-07-16,41
QUEENS,2018-09-19,25
BRONX,2018-11-10,37
BROOKLYN,2018-12-30,32
BRONX,2019-02-07,58
MANHATTAN,2019-03-04,137
BROOKLYN,2019-03-12,110
QUEENS,2019-03-25,22
BRONX,2019-05-16,22
BROOKLYN,2019-06-05,88
MANHATTAN,2019-06-21,46
STATEN ISLAND,2019-07-11,14
MANHATTAN,2019-09-23,7
MANHATTAN,2019-12-27,10
QUEENS,2018-03-18,35
BRONX,2018-08-17,48
BRONX,2018-10-16,33
