log_date,DailyAverageDryBulbTemperature
2018-01-01,13.0
2018-01-02,20.0
2018-01-03,23.0
2018-01-04,24.0
2018-01-05,14.0
2018-01-06,10.0
2018-01-07,12.0
2018-01-08,24.0
2018-01-09,37.0
2018-01-10,37.0
2018-01-11,47.0
2018-01-12,53.0
2018-01-13,39.0
2018-01-14,20.0
2018-01-15,23.0
2018-01-16,31.0
2018-01-17,29.0
2018-01-18,25.0
2018-01-19,33.0
2018-01-20,45.0
2018-01-21,46.0
2018-01-22,44.0
2018-01-23,49.0
2018-01-24,36.0
2018-01-25,29.0
2018-01-26,32.0
2018-01-27,46.0
2018-01-28,51.0
2018-01-29,41.0
2018-01-30,30.0
2018-01-31,26.0
2018-02-01,39.0
2018-02-02,29.0
2018-02-03,24.0
2018-02-04,38.0
2018-02-05,33.0
2018-02-06,32.0
2018-02-07,38.0
2018-02-08,29.0
2018-02-09,33.0
2018-02-10,45.0
2018-02-11,54.0
2018-02-12,47.0
2018-02-13,32.0
2018-02-14,44.0
2018-02-15,54.0
2018-02-16,47.0
2018-02-17,34.0
2018-02-18,39.0
2018-02-19,43.0
2018-02-20,57.0
2018-02-21,67.0
2018-02-22,48.0
2018-02-23,39.0
2018-02-24,49.0
2018-02-25,42.0
2018-02-26,48.0
2018-02-27,48.0
2018-02-28,52.0
2018-03-01,52.0
2018-03-02,39.0
2018-03-03,43.0
2018-03-04,39.0
2018-03-05,38.0
2018-03-06,40.0
2018-03-07,36.0
2018-03-08,36.0
2018-03-09,36.0
2018-03-10,36.0
2018-03-11,39.0
2018-03-12,38.0
2018-03-13,37.0
2018-03-14,36.0
2018-03-15,40.0
2018-03-16,35.0
2018-03-17,38.0
2018-03-18,36.0
2018-03-19,40.0
2018-03-20,35.0
2018-03-21,35.0
2018-03-22,41.0
2018-03-23,42.0
2018-03-24,43.0
2018-03-25,39.0
2018-03-26,42.0
2018-03-27,41.0
2018-03-28,45.0
2018-03-29,51.0
2018-03-30,53.0
2018-03-31,49.0
2018-04-01,52.0
2018-04-02,38.0
2018-04-03,41.0
2018-04-04,48.0
2018-04-05,40.0
2018-04-06,50.0
2018-04-07,43.0
2018-04-08,39.0
2018-04-09,41.0
2018-04-10,45.0
2018-04-11,44.0
2018-04-12,55.0
2018-04-13,71.0
2018-04-14,61.0
2018-04-15,41.0
2018-04-16,50.0
2018-04-17,43.0
2018-04-18,46.0
2018-04-19,44.0
2018-04-20,44.0
2018-04-21,51.0
2018-04-22,56.0
2018-04-23,57.0
2018-04-24,56.0
2018-04-25,56.0
2018-04-26,63.0
2018-04-27,55.0
2018-04-28,59.0
2018-04-29,53.0
2018-04-30,48.0
2018-05-01,64.0
2018-05-02,78.0
2018-05-03,81.0
2018-05-04,78.0
2018-05-05,69.0
2018-05-06,61.0
2018-05-07,66.0
2018-05-08,64.0
2018-05-09,66.0
2018-05-10,60.0
2018-05-11,67.0
2018-05-12,57.0
2018-05-13,53.0
2018-05-14,62.0
2018-05-15,75.0
2018-05-16,60.0
2018-05-17,64.0
2018-05-18,62.0
2018-05-19,53.0
2018-05-20,69.0
2018-05-21,69.0
2018-05-22,62.0
2018-05-23,70.0
2018-05-24,73.0
2018-05-25,76.0
2018-05-26,81.0
